PRN ==> PRN|<NP-PP-> [0.00334448160535]
S ==> S|<PP-,-NP-VP-.-> [1.05630083448E-4]
ADJP ==> JJS [8.09061488673E-4]
NX ==> NNS [0.0948905109489]
NP ==> EX [0.00285723562453]
VP ==> VBG [0.00221070811744]
NP|<-JJ-NN> ==> NP|<JJ-NN> [1.0]
ADVP ==> RP [0.002679528403]
PP ==> RB [1.07273117357E-4]
ADJP ==> DT [8.09061488673E-4]
VP ==> VBN [0.0013816925734]
INTJ ==> RB [0.2]
NP ==> NN [0.0427935971947]
ADJP ==> VBG [0.00242718446602]
PRN|<-,> ==> , [1.0]
NP ==> VBG [4.54560212994E-4]
NP ==> RBS [6.49371732848E-5]
PRN ==> PRN|<NP-,-PP-> [0.00334448160535]
PRN ==> PRN|<CC-VP-> [0.00334448160535]
NP ==> CD [0.0123705315108]
ADVP ==> PDT [5.359056806E-4]
WHNP ==> PRP [0.00133155792277]
VP ==> VBP [0.00124352331606]
WHNP ==> IN [0.0439414114514]
ADVP ==> NN [0.0016077170418]
NP=3 ==> NNP [0.333333333333]
SBAR ==> SINV [0.00132684652808]
WHNP ==> WDT [0.575233022636]
INTJ ==> UH [0.2]
NP|<-NN-POS> ==> NP|<NN-POS> [1.0]
PRN ==> PRN|<NP-,-NP-> [0.0100334448161]
NP ==> WDT [1.2987434657E-4]
NP|<-NN-NN-> ==> NP|<NN-NN-> [1.0]
ADVP ==> RB [0.724008574491]
ADVP ==> JJ [0.0101822079314]
PRT ==> RB [0.00900900900901]
NX ==> NN [0.116788321168]
ADVP|PRT ==> RB [1.0]
NP|<NN-> ==> NN [1.0]
ADJP ==> RB [0.0088996763754]
ADJP ==> JJR [0.0161812297735]
PRT ==> IN [0.0585585585586]
QP ==> RB [0.00126582278481]
PRN ==> PRN|<NP-:-NP-> [0.00334448160535]
LST ==> LS [0.4]
NP ==> RB [6.81840319491E-4]
ADJP ==> VB [8.09061488673E-4]
NP ==> DT [0.00616903146206]
